as_of_date,reference_month,implied_zc_rate,node_status,fit_status,model_version,matrix_version,base_month,training_cutoff,source_trade_count
2026-04-28,2026-04-01,0.037142100095076236,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-05-01,0.040517630224130352,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-06-01,0.039710318358388008,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-07-01,0.038359624575914353,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-08-01,0.036311331703583027,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-09-01,0.035190886699507429,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-10-01,0.032542597756784364,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-11-01,0.03575196993724572,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2026-12-01,0.035691582267153077,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2027-01-01,0.035787635433448539,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2027-02-01,0.03466193368728665,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
2026-04-28,2027-03-01,0.028590636952512405,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-28,0
